,text,human_wrote
0,"['🕊', '️', 'Climbed', 'stairs', 'charity', ',', ""let's"", 'climb', 'ladder', 'justice', 'Palestine', '.', 'Every', 'step', 'counts', '.', '#CharityForPalestine', '#FreePalestine']",0
1,"['🇵🇸', 'normalization', 'stance', 'justice', '.', 'Palestine', 'deserves', 'betrayal', '.', '#NoNormalization', '#PalestinianRights']",0
2,"['🌍', 'Solidarity', 'knows', 'borders', '.', 'Standing', 'Palestine', 'today', ',', 'better', 'tomorrow', '.', '#StandWithPalestine', '#GlobalSolidarity']",0
3,"['🚨', 'world', 'must', 'recognize', 'pain', 'Palestinians', '.', 'Every', 'injustice', 'must', 'call', 'action', '.', '#EndTheSilence', '#JusticeForPalestine']",0
4,"['🏠', 'stolen', 'homes', 'Palestine', 'cry', 'justice', '.', 'time', 'rebuild', 'unlawfully', 'taken', '.', '#ReclaimingHomes', '#PalestinianHeritage']",0
5,"['🕊', '️', 'Amidst', 'adversity', ',', 'Palestinian', 'weddings', 'celebrate', 'resilience', 'love', '.', 'Cultural', 'pride', 'odds', '.', '#PalestinianCulture', '#LoveOverConflict']",0
6,"['🤝', 'normalization', ',', 'yes', 'justice', '.', ""Let's"", 'choose', 'peace', 'grounded', 'fairness', '.', '#ChooseJustice', '#PeaceForPalestine']",0
7,"['🗣', '️', 'Palestinian', 'voices', 'silenced', '.', 'Speak', ',', 'stand', ',', 'echo', 'truth', '.', '#SpeakForPalestine', '#VoicesForJustice']",0
8,"['💔', 'demolished', 'home', 'tells', 'tale', 'pain', '.', 'time', 'rewrite', 'narrative', 'free', 'Palestine', '.', '#DemolishedDreams', '#FreePalestine']",0
9,"['🇺🇸', 'Trump', 'Biden', ',', 'struggle', 'justice', 'continues', '.', 'Jerusalem', 'remains', 'eternal', 'capital', 'Palestine', '.', '#JerusalemIsPalestine', '#USPolitics']",0
10,"['👶🏽', 'innocent', 'faces', 'Palestinian', 'children', 'demand', 'world', 'free', 'violence', '.', 'Every', 'child', 'deserves', 'peace', '.', '#ChildrenOfPalestine', '#NoMoreViolence']",0
11,"['🌍', 'Injustice', 'anywhere', 'threat', 'justice', 'everywhere', '.', 'Stand', 'united', 'rights', 'Palestinian', 'people', '.', '#GlobalJustice', '#Solidarity']",0
12,"['🤝', 'Join', 'hands', ',', 'hearts', ',', 'efforts', 'world', 'peace', 'prevails', 'conflict', '.', '#PeaceForPalestine', '#UnitedForJustice']",0
13,"['🏠', 'Home', 'walls', ';', 'heartbeat', 'nation', '.', 'Rebuilding', 'Palestine', 'rebuilding', 'hope', '.', '#RebuildPalestine', '#HopeRising']",0
14,"['💙', 'resilience', 'Palestinian', 'spirit', 'shines', 'bright', 'despite', 'darkness', '.', 'Every', 'day', 'step', 'toward', 'freedom', '.', '#ResilientPalestine', '#Hope']",0
15,"['🇮🇷', 'Together', ',', ""let's"", 'break', 'chains', 'oppression', '.', 'Iran', 'stands', 'strong', 'support', 'free', 'Palestine', '.', '#IranStandsWithPalestine', '#FreePalestine']",0
16,"['🚫', 'Say', 'normalization', ';', 'say', 'yes', 'human', 'rights', '.', 'Let', 'justice', 'guide', 'every', 'decision', '.', '#HumanRightsForPalestine', '#NoNormalization']",0
17,"['🌍', 'occupied', 'territories', 'global', 'hearts', ',', 'call', 'justice', 'echoes', '.', 'time', 'answer', '.', '#GlobalJusticeForPalestine', '#AnswerTheCall']",0
18,"['💔', 'father', 'lost', 'legs', 'Israeli', 'attacks', ';', 'daughter', 'lost', 'childhood', '.', 'cost', 'conflict', 'immeasurable', '.', '#CostOfConflict', '#PalestinianSuffering']",0
19,"['🤝', 'Beyond', 'borders', ',', 'stand', 'united', 'justice', '.', ""Palestine's"", 'struggle', 'call', 'global', 'solidarity', '.', '#UnitedForPalestine', '#GlobalSolidarity']",0
20,"['🌐', ""Palestine's"", 'pain', ""world's"", 'concern', '.', 'Ignorance', 'option', ';', 'awareness', 'key', 'change', '.', '#RaiseAwareness', '#PalestinianRights']",0
21,"['🚨', 'world', 'must', 'witness', 'crimes', 'humanity', 'Palestine', '.', 'Silence', 'perpetuates', 'injustice', '.', '#WitnessTheTruth', '#EndTheSilence']",0
22,"['🇨🇳', 'China', ',', ""let's"", 'stand', 'together', 'injustice', '.', ""Palestine's"", 'struggle', 'resonates', 'pursuit', 'justice', 'worldwide', '.', '#ChinaWithPalestine', '#GlobalUnity']",0
23,"['🕊', '️', 'Peace', 'absence', 'conflict', ';', 'presence', 'justice', '.', 'Let', 'justice', 'pave', 'way', 'lasting', 'peace', '.', '#JusticeForPeace', '#PalestinianHope']",0
24,"['🗝', '️', 'Even', 'rusty', 'keys', 'hold', 'promise', 'return', '.', 'right', 'return', 'sacred', '.', '#RightToReturn', '#PalestinianRefugees']",0
25,"['🇹🇷', 'Turkey', 'stands', 'pillar', 'support', 'free', 'Palestine', '.', 'Solidarity', 'knows', 'boundaries', '.', '#TurkeyWithPalestine', '#Solidarity']",0
26,"['🌈', 'Every', 'color', ""Palestine's"", 'flag', 'represents', 'story', 'resilience', ',', 'courage', ',', 'hope', '.', '#ColorsOfPalestine', '#HopeInAdversity']",0
27,"['🌍', 'stolen', 'dreams', '.', 'Every', 'Palestinian', 'child', 'deserves', 'future', 'filled', 'promise', '.', '#DreamsNotStolen', '#ChildrensRights']",0
28,"['🤝', 'path', 'peace', 'understanding', ',', 'compassion', ',', 'justice', '.', ""Let's"", 'pave', 'way', 'together', '.', '#PathToPeace', '#TogetherForPalestine']",0
29,"['💔', 'Heartbreaking', 'stories', 'echo', 'every', 'corner', 'Palestine', '.', 'time', 'rewrite', 'narrative', 'suffering', '.', '#RewriteTheNarrative', '#PalestinianStories']",0
30,"['🕊', '️', 'wings', 'peace', 'spread', 'justice', 'wind', 'beneath', '.', '#WingsOfPeace', '#JusticeForPalestine']",0
31,"['📚', 'Educate', ',', 'empathize', ',', 'empower', '.', 'Knowledge', 'powerful', 'tool', 'fight', 'justice', '.', '#EducationForChange', '#EmpowerPalestine']",0
32,"['🌟', 'Every', 'star', 'sky', 'represents', 'hope', 'free', 'Palestine', '.', ""Let's"", 'make', 'hopes', 'reality', '.', '#StarsOfHope', '#FreePalestine']",0
33,"['🔍', 'truth', 'compass', 'points', 'towards', 'justice', '.', ""Let's"", 'navigate', 'towards', 'resolution', '.', '#TruthAndJustice', '#NavigateToPeace']",0
34,"['🇪🇬', 'Egypt', ',', ""let's"", 'continue', 'standing', 'solidarity', 'Palestinian', 'brothers', 'sisters', '.', 'Unity', 'strength', '.', '#EgyptWithPalestine', '#Unity']",0
35,"['🔗', 'Solidarity', 'chain', 'binds', 'us', 'injustice', '.', ""Let's"", 'strengthen', 'links', 'free', 'Palestine', '.', '#SolidarityAgainstInjustice', '#FreePalestine']",0
36,"['🌱', 'Hope', 'resilient', 'seed', ',', 'even', 'harshest', 'soils', '.', ""Let's"", 'water', 'seeds', 'hope', 'free', 'Palestine', '.', '#SeedsOfHope', '#HopeForPalestine']",0
37,"['🏛', '️', 'foundation', 'justice', 'built', 'bricks', 'awareness', '.', ""Let's"", 'lay', 'strong', 'foundation', 'free', 'Palestine', '.', '#FoundationOfJustice', '#BuildForPeace']",0
38,"['🤲', 'hands', ',', 'hold', 'power', 'make', 'difference', '.', ""Let's"", 'use', 'betterment', 'humanity', '.', '#PowerOfChange', '#MakeADifference']",0
39,"['🌍', 'struggle', 'justice', 'Palestine', 'global', 'cause', '.', ""Let's"", 'amplify', 'voices', 'change', '.', '#GlobalCause', '#AmplifyTheVoice']",0
40,"['🇮🇩', 'Indonesia', 'stands', 'strong', 'solidarity', 'Palestine', '.', 'Together', ',', 'strive', 'world', 'free', 'oppression', '.', '#IndonesiaWithPalestine', '#GlobalStrive']",0
41,"['🌿', 'Resilience', 'blooms', 'even', 'harshest', 'conditions', '.', ""Palestine's"", 'resilience', 'testament', 'human', 'spirit', '.', '#ResilienceInAdversity', '#PalestinianSpirit']",0
42,"['🕊', '️', 'dove', 'peace', 'flies', 'land', 'yearning', 'justice', '.', ""Let's"", 'create', 'atmosphere', 'soar', '.', '#DoveOfPeace', '#JusticeInTheAir']",0
43,"['🔊', 'Louder', 'justice', '.', 'Silence', 'serves', 'oppressors', '.', '#SpeakLouder', '#LouderForPalestine']",0
44,"['🔄', ""Let's"", 'break', 'cycle', 'injustice', '.', 'time', 'change', '.', '#BreakTheCycle', '#TimeForChange']",0
45,"['🌍', 'every', 'corner', 'world', ',', ""let's"", 'unite', 'rights', 'Palestinian', 'people', '.', '#UniteForPalestine', '#GlobalRights']",0
46,"['🤲', 'Compassion', 'knows', 'borders', '.', ""Let's"", 'extend', 'hands', 'need', '.', '#CompassionKnowsNoBorders', '#ExtendYourHand']",0
47,"['🌈', 'world', 'colors', ',', ""let's"", 'paint', 'canvas', 'justice', 'Palestine', '.', '#CanvasOfJustice', '#PaintForPalestine']",0
48,"['🌐', 'internet', 'connects', 'us', ',', 'justice', 'unites', 'us', '.', ""Let's"", 'use', 'connectivity', 'cause', '.', '#ConnectForJustice', '#InternetForPalestine']",0
49,"['🤝', 'Bridge', 'gap', 'understanding', ',', 'ignorance', '.', ""Let's"", 'build', 'bridges', 'united', 'world', '.', '#BuildBridges', '#UnitedForPalestine']",0
50,"['💔', 'Heartbreaking', 'scenes', 'Gaza', 'tonight', '.', 'cycle', 'violence', 'must', 'end', '.', ""Let's"", 'unite', 'peace', 'justice', '.', '#Israel', '#Palestine', '#EndTheConflict']",0
51,"['🇮🇱', 'Defending', 'homeland', 'choice', ',', 'duty', '.', 'Sending', 'strength', 'brave', 'IDF', 'soldiers', 'safeguarding', ""Israel's"", 'security', '.', '🙏🏼', '#IsraelStrong', '#IDF']",0
52,"['🚨', 'Urgent', 'plea', 'international', 'intervention', '!', 'people', 'Palestine', 'suffering', '.', 'Innocent', 'lives', 'lost', '.', 'need', ""world's"", 'attention', '!', '#FreePalestine', '#HumanRights']",0
53,"['🕊', '️', 'Jerusalem', 'city', 'unity', 'diversity', '.', ""Let's"", 'work', 'towards', 'coexistence', 'mutual', 'respect', '.', 'shared', 'future', 'depends', '.', '#Jerusalem', '#Coexistence']",0
54,"['🤝', 'Dialogue', ',', 'division', ',', 'path', 'peace', '.', ""Let's"", 'encourage', 'diplomatic', 'efforts', 'open', 'conversations', 'lasting', 'resolution', '.', '#DialogueForPeace', '#IsraelPalestineTalks']",0
55,"['🚀', 'Resisting', 'occupation', 'right', ',', 'crime', '.', 'world', 'must', 'acknowledge', 'root', 'causes', 'conflict', 'lasting', 'solution', '.', '#Hamas', '#Resistance']",0
56,"['🇮🇱', 'Every', 'rocket', 'fired', 'Israeli', 'civilians', 'attack', 'peace', '.', 'must', 'prioritize', 'safety', 'innocent', 'lives', 'sides', '.', '#ProtectCivilians', '#PeaceForAll']",0
57,"['🧒🏽', '💔', 'children', 'Gaza', 'deserve', 'future', 'free', 'fear', 'violence', '.', ""Let's"", 'work', 'together', 'build', 'better', 'world', '.', '#ChildrenDeservePeace', '#HopeForGaza']",0
58,"['🤝', 'two-state', 'solution', 'way', 'forward', '.', 'Israelis', 'Palestinians', 'deserve', 'self-determination', 'security', '.', ""Let's"", 'strive', 'peace', '.', '#TwoStateSolution', '#PeacePlan']",0
59,"['🌍', 'United', 'Nations', 'continues', 'advocate', 'peaceful', 'resolution', 'Israel-Palestine', 'conflict', '.', 'urge', 'parties', 'engage', 'dialogue', 'seek', 'common', 'ground', '.', '#UNPeacekeeping', '#GlobalPeace']",0
60,"['💔', 'Heartbreaking', 'scenes', 'Gaza', 'tonight', '.', 'cycle', 'violence', 'must', 'end', '.', ""Let's"", 'unite', 'peace', 'justice', '.', '#Israel', '#Palestine', '#EndTheConflict']",0
61,"['🇮🇱', 'Defending', 'homeland', 'choice', ',', 'duty', '.', 'Sending', 'strength', 'brave', 'IDF', 'soldiers', 'safeguarding', ""Israel's"", 'security', '.', '🙏🏼', '#IsraelStrong', '#IDF']",0
62,"['🚨', 'Urgent', 'plea', 'international', 'intervention', '!', 'people', 'Palestine', 'suffering', '.', 'Innocent', 'lives', 'lost', '.', 'need', ""world's"", 'attention', '!', '#FreePalestine', '#HumanRights']",0
63,"['🕊', '️', 'Jerusalem', 'city', 'unity', 'diversity', '.', ""Let's"", 'work', 'towards', 'coexistence', 'mutual', 'respect', '.', 'shared', 'future', 'depends', '.', '#Jerusalem', '#Coexistence']",0
64,"['🤝', 'Dialogue', ',', 'division', ',', 'path', 'peace', '.', ""Let's"", 'encourage', 'diplomatic', 'efforts', 'open', 'conversations', 'lasting', 'resolution', '.', '#DialogueForPeace', '#IsraelPalestineTalks']",0
65,"['🚀', 'Resisting', 'occupation', 'right', ',', 'crime', '.', 'world', 'must', 'acknowledge', 'root', 'causes', 'conflict', 'lasting', 'solution', '.', '#Hamas', '#Resistance']",0
66,"['🇮🇱', 'Every', 'rocket', 'fired', 'Israeli', 'civilians', 'attack', 'peace', '.', 'must', 'prioritize', 'safety', 'innocent', 'lives', 'sides', '.', '#ProtectCivilians', '#PeaceForAll']",0
67,"['🧒🏽', '💔', 'children', 'Gaza', 'deserve', 'future', 'free', 'fear', 'violence', '.', ""Let's"", 'work', 'together', 'build', 'better', 'world', '.', '#ChildrenDeservePeace', '#HopeForGaza']",0
68,"['🤝', 'two-state', 'solution', 'way', 'forward', '.', 'Israelis', 'Palestinians', 'deserve', 'self-determination', 'security', '.', ""Let's"", 'strive', 'peace', '.', '#TwoStateSolution', '#PeacePlan']",0
69,"['🌍', 'United', 'Nations', 'continues', 'advocate', 'peaceful', 'resolution', 'Israel-Palestine', 'conflict', '.', 'urge', 'parties', 'engage', 'dialogue', 'seek', 'common', 'ground', '.', '#UNPeacekeeping', '#GlobalPeace']",0
70,"['🤔', 'world', 'seem', 'forget', 'suffering', 'innocent', 'Palestinians', '?', 'time', 'change', '.', '#JusticeForPalestine', '#HumanRights']",0
71,"['🇮🇱', 'Israeli', ',', 'believe', 'secure', 'peaceful', 'coexistence', '.', ""Let's"", 'work', 'towards', 'understanding', 'respect', '.', '#PeacefulIsrael', '#Coexistence']",0
72,"['🚀', 'resistance', 'waver', '.', 'Palestinians', 'right', 'resist', 'occupation', 'fight', 'freedom', '.', '#PalestinianResistance', '#FreeGaza']",0
73,"['🤝', 'Joint', 'initiatives', 'peace', 'education', 'bridge', 'divide', 'foster', 'understanding', 'Israeli', 'Palestinian', 'youth', '.', '#YouthForPeace', '#EducationForChange']",0
74,"['🌐', 'International', 'solidarity', 'crucial', '.', ""Let's"", 'stand', 'together', 'lasting', 'peace', 'Middle', 'East', '.', '#SolidarityForPeace', '#GlobalUnity']",0
75,"['🇮🇱', '🤝', '🇵🇸', 'People', 'sides', 'working', 'towards', 'reconciliation', '.', 'time', 'amplify', 'voices', 'efforts', '.', '#BuildingBridges', '#IsraelPalestineDialogue']",0
76,"['💔', 'loss', 'innocent', 'lives', ',', 'whether', 'Israeli', 'Palestinian', ',', 'tragedy', '.', ""Let's"", 'mourn', 'together', 'strive', 'future', 'without', 'pain', '.', '#MourningTogether', '#EndViolence']",0
77,"['🌈', 'Coexistence', 'dream', ';', 'necessity', '.', ""Let's"", 'work', 'towards', 'future', 'Israelis', 'Palestinians', 'live', 'side', 'side', 'peace', '.', '#CoexistenceDream', '#FutureTogether']",0
78,"['🤔', 'condemned', 'repeat', 'history', '?', 'time', 'break', 'cycle', 'violence', 'build', 'path', 'towards', 'lasting', 'peace', '.', '#BreakTheCycle', '#PeacefulFuture']",0
79,"['🚨', 'Urgent', 'call', 'ceasefire', '!', 'suffering', 'civilians', 'sides', 'cannot', 'ignored', 'longer', '.', '#CeasefireNow', '#EndTheViolence']",0
80,"['🕊', '️', 'Diplomacy', 'key', '.', ""Let's"", 'prioritize', 'dialogue', 'negotiations', 'conflict', '.', '#DiplomacyForPeace', '#NegotiateNotFight']",0
81,"['🇮🇱', 'Supporting', 'Israel', 'mean', 'turning', 'blind', 'eye', 'suffering', 'Palestinians', '.', 'True', 'support', 'involves', 'advocating', 'peaceful', 'resolution', '.', '#SupportIsrael', '#AdvocateForPeace']",0
82,"['🚀', 'right', 'defend', 'oneself', 'essential', ',', 'must', 'balanced', 'commitment', 'protect', 'innocent', 'lives', '.', '#DefenseWithHumanity', '#ProtectCivilians']",0
83,"['🕊', '️', 'Jerusalem', ',', 'city', 'sacred', 'many', ',', 'deserves', 'symbol', 'unity', ',', 'division', '.', ""Let's"", 'respect', 'preserve', 'diversity', '.', '#JerusalemUnity', '#CityOfPeace']",0
84,"['🇵🇸', 'world', 'must', 'recognize', 'rights', 'Palestinians', 'struggle', 'self-determination', '.', '#RecognitionForPalestine', '#EqualRights']",0
85,"['🤝', 'Communities', 'working', 'together', 'powerful', 'force', 'change', '.', ""Let's"", 'support', 'grassroots', 'initiatives', 'peace', '.', '#CommunityPeaceProjects', '#GrassrootsEfforts']",0
86,"['📢', 'Raise', 'voice', 'injustice', '!', 'Silence', 'perpetuates', 'suffering', '.', '#SpeakUpForJustice', '#EndTheSilence']",0
87,"['🇮🇱', '🇵🇸', 'shared', 'history', 'Israelis', 'Palestinians', 'acknowledged', ',', 'learned', ',', 'used', 'foundation', 'better', 'future', '.', '#SharedHistory', '#LearnAndGrow']",0
88,"['💔', 'heart', 'aches', 'families', 'sides', 'lost', 'loved', 'ones', '.', 'May', 'find', 'strength', 'solace', '.', '#Condolences', '#GriefKnowsNoBorders']",0
89,"['🌍', 'international', 'community', 'must', 'play', 'proactive', 'role', 'facilitating', 'dialogue', 'promoting', 'peace', 'region', '.', '#GlobalInvolvement', '#InternationalPeaceEfforts']",0
90,"['🕊', '️', 'olive', 'branch', 'symbolizes', 'peace', '.', ""Let's"", 'plant', 'metaphorical', 'olive', 'trees', 'nurture', 'future', 'harmony', '.', '#OliveBranchForPeace', '#SymbolOfUnity']",0
91,"['🚨', 'Humanitarian', 'aid', 'urgently', 'needed', 'Gaza', '.', ""Let's"", 'prioritize', 'well-being', 'civilians', 'caught', 'crossfire', '.', '#HumanitarianAid', '#GazaCrisis']",0
92,"['🇮🇱', 'Israel', 'right', 'exist', ',', 'Palestinians', 'right', 'state', '.', ""Let's"", 'work', 'towards', 'solution', 'respects', '.', '#TwoStatesSolution', '#RespectForAll']",0
93,"['🌐', 'Social', 'media', 'powerful', 'tool', 'raising', 'awareness', ',', ""let's"", 'use', 'responsibly', 'constructively', 'sake', 'peace', '.', '#SocialMediaForGood', '#PeacefulActivism']",0
94,"['🚀', 'essential', 'address', 'root', 'causes', 'conflict', 'find', 'sustainable', 'solution', '.', '#AddressTheRootCauses', '#SustainablePeace']",0
95,"['💔', 'impact', 'conflict', 'mental', 'health', 'immense', '.', ""Let's"", 'prioritize', 'mental', 'health', 'support', 'affected', '.', '#MentalHealthMatters', '#HealingAfterConflict']",0
96,"['🇮🇱', '🇵🇸', 'Cultural', 'exchange', 'programs', 'foster', 'understanding', 'break', 'stereotypes', '.', ""Let's"", 'encourage', 'initiatives', 'like', '.', '#CulturalExchange', '#BreakingStereotypes']",0
97,"['🕊', '️', 'Education', 'powerful', 'tool', 'building', 'peaceful', 'future', '.', ""Let's"", 'invest', 'education', ',', 'promoting', 'tolerance', 'understanding', '.', '#EducationForPeace', '#TeachTolerance']",0
98,"['🌍', 'world', 'must', 'silent', 'face', 'injustice', '.', ""Let's"", 'raise', 'voices', 'lasting', 'peace', '.', '#SpeakUpForPeace', '#NoMoreSilence']",0
99,"['🤝', 'Grassroots', 'movements', 'heart', 'social', 'change', '.', ""Let's"", 'support', 'amplify', 'efforts', 'working', 'towards', 'peace', '.', '#GrassrootsPeace', '#LocalInitiatives']",0
100,"['🚨', 'Every', 'civilian', 'casualty', 'tragedy', '.', ""Let's"", 'call', 'immediate', 'ceasefire', 'prevent', 'loss', 'innocent', 'lives', '.', '#CeasefireCall', '#ProtectCivilians']",0
101,"['🇮🇱', 'Israeli', ',', 'long', 'future', 'children', 'live', 'without', 'fear', 'conflict', '.', ""Let's"", 'strive', 'lasting', 'peace', '.', '#PeacefulFuture', '#HopeForIsrael']",0
102,"['🚀', 'Resistance', 'born', 'desperation', '.', 'Addressing', 'root', 'causes', 'crucial', 'sustainable', 'resolution', '.', '#AddressRootCauses', '#SustainableResolution']",0
103,"['🕊', '️', ""Let's"", 'celebrate', 'diversity', 'region', 'embrace', 'source', 'strength', 'rather', 'division', '.', '#DiversityIsStrength', '#UnityInDiversity']",0
104,"['🌐', 'International', 'collaboration', 'essential', 'finding', 'common', 'ground', 'fostering', 'lasting', 'peace', '.', '#GlobalCollaboration', '#PeacefulWorld']",0
105,"['💔', 'heart', 'goes', 'children', 'conflict', 'zones', '.', 'Every', 'child', 'deserves', 'childhood', 'free', 'fear', 'violence', '.', '#ChildrenDeservePeace', '#ProtectTheInnocent']",0
