text,human_wrote
"['🕊', '️', 'Climbed', 'stairs', 'charity', ',', ""let's"", 'climb', 'ladder', 'justice', 'Palestine', '.', 'Every', 'step', 'counts', '.', '#CharityForPalestine', '#FreePalestine']",0
"['🇵🇸', 'normalization', 'stance', 'justice', '.', 'Palestine', 'deserves', 'betrayal', '.', '#NoNormalization', '#PalestinianRights']",0
"['🌍', 'Solidarity', 'knows', 'borders', '.', 'Standing', 'Palestine', 'today', ',', 'better', 'tomorrow', '.', '#StandWithPalestine', '#GlobalSolidarity']",0
"['🚨', 'world', 'must', 'recognize', 'pain', 'Palestinians', '.', 'Every', 'injustice', 'must', 'call', 'action', '.', '#EndTheSilence', '#JusticeForPalestine']",0
"['🏠', 'stolen', 'homes', 'Palestine', 'cry', 'justice', '.', 'time', 'rebuild', 'unlawfully', 'taken', '.', '#ReclaimingHomes', '#PalestinianHeritage']",0
"['🕊', '️', 'Amidst', 'adversity', ',', 'Palestinian', 'weddings', 'celebrate', 'resilience', 'love', '.', 'Cultural', 'pride', 'odds', '.', '#PalestinianCulture', '#LoveOverConflict']",0
"['🤝', 'normalization', ',', 'yes', 'justice', '.', ""Let's"", 'choose', 'peace', 'grounded', 'fairness', '.', '#ChooseJustice', '#PeaceForPalestine']",0
"['🗣', '️', 'Palestinian', 'voices', 'silenced', '.', 'Speak', ',', 'stand', ',', 'echo', 'truth', '.', '#SpeakForPalestine', '#VoicesForJustice']",0
"['💔', 'demolished', 'home', 'tells', 'tale', 'pain', '.', 'time', 'rewrite', 'narrative', 'free', 'Palestine', '.', '#DemolishedDreams', '#FreePalestine']",0
"['🇺🇸', 'Trump', 'Biden', ',', 'struggle', 'justice', 'continues', '.', 'Jerusalem', 'remains', 'eternal', 'capital', 'Palestine', '.', '#JerusalemIsPalestine', '#USPolitics']",0
"['👶🏽', 'innocent', 'faces', 'Palestinian', 'children', 'demand', 'world', 'free', 'violence', '.', 'Every', 'child', 'deserves', 'peace', '.', '#ChildrenOfPalestine', '#NoMoreViolence']",0
"['🌍', 'Injustice', 'anywhere', 'threat', 'justice', 'everywhere', '.', 'Stand', 'united', 'rights', 'Palestinian', 'people', '.', '#GlobalJustice', '#Solidarity']",0
"['🤝', 'Join', 'hands', ',', 'hearts', ',', 'efforts', 'world', 'peace', 'prevails', 'conflict', '.', '#PeaceForPalestine', '#UnitedForJustice']",0
"['🏠', 'Home', 'walls', ';', 'heartbeat', 'nation', '.', 'Rebuilding', 'Palestine', 'rebuilding', 'hope', '.', '#RebuildPalestine', '#HopeRising']",0
"['💙', 'resilience', 'Palestinian', 'spirit', 'shines', 'bright', 'despite', 'darkness', '.', 'Every', 'day', 'step', 'toward', 'freedom', '.', '#ResilientPalestine', '#Hope']",0
"['🇮🇷', 'Together', ',', ""let's"", 'break', 'chains', 'oppression', '.', 'Iran', 'stands', 'strong', 'support', 'free', 'Palestine', '.', '#IranStandsWithPalestine', '#FreePalestine']",0
"['🚫', 'Say', 'normalization', ';', 'say', 'yes', 'human', 'rights', '.', 'Let', 'justice', 'guide', 'every', 'decision', '.', '#HumanRightsForPalestine', '#NoNormalization']",0
"['🌍', 'occupied', 'territories', 'global', 'hearts', ',', 'call', 'justice', 'echoes', '.', 'time', 'answer', '.', '#GlobalJusticeForPalestine', '#AnswerTheCall']",0
"['💔', 'father', 'lost', 'legs', 'Israeli', 'attacks', ';', 'daughter', 'lost', 'childhood', '.', 'cost', 'conflict', 'immeasurable', '.', '#CostOfConflict', '#PalestinianSuffering']",0
"['🤝', 'Beyond', 'borders', ',', 'stand', 'united', 'justice', '.', ""Palestine's"", 'struggle', 'call', 'global', 'solidarity', '.', '#UnitedForPalestine', '#GlobalSolidarity']",0
"['🌐', ""Palestine's"", 'pain', ""world's"", 'concern', '.', 'Ignorance', 'option', ';', 'awareness', 'key', 'change', '.', '#RaiseAwareness', '#PalestinianRights']",0
"['🚨', 'world', 'must', 'witness', 'crimes', 'humanity', 'Palestine', '.', 'Silence', 'perpetuates', 'injustice', '.', '#WitnessTheTruth', '#EndTheSilence']",0
"['🇨🇳', 'China', ',', ""let's"", 'stand', 'together', 'injustice', '.', ""Palestine's"", 'struggle', 'resonates', 'pursuit', 'justice', 'worldwide', '.', '#ChinaWithPalestine', '#GlobalUnity']",0
"['🕊', '️', 'Peace', 'absence', 'conflict', ';', 'presence', 'justice', '.', 'Let', 'justice', 'pave', 'way', 'lasting', 'peace', '.', '#JusticeForPeace', '#PalestinianHope']",0
"['🗝', '️', 'Even', 'rusty', 'keys', 'hold', 'promise', 'return', '.', 'right', 'return', 'sacred', '.', '#RightToReturn', '#PalestinianRefugees']",0
"['🇹🇷', 'Turkey', 'stands', 'pillar', 'support', 'free', 'Palestine', '.', 'Solidarity', 'knows', 'boundaries', '.', '#TurkeyWithPalestine', '#Solidarity']",0
"['🌈', 'Every', 'color', ""Palestine's"", 'flag', 'represents', 'story', 'resilience', ',', 'courage', ',', 'hope', '.', '#ColorsOfPalestine', '#HopeInAdversity']",0
"['🌍', 'stolen', 'dreams', '.', 'Every', 'Palestinian', 'child', 'deserves', 'future', 'filled', 'promise', '.', '#DreamsNotStolen', '#ChildrensRights']",0
"['🤝', 'path', 'peace', 'understanding', ',', 'compassion', ',', 'justice', '.', ""Let's"", 'pave', 'way', 'together', '.', '#PathToPeace', '#TogetherForPalestine']",0
"['💔', 'Heartbreaking', 'stories', 'echo', 'every', 'corner', 'Palestine', '.', 'time', 'rewrite', 'narrative', 'suffering', '.', '#RewriteTheNarrative', '#PalestinianStories']",0
"['🕊', '️', 'wings', 'peace', 'spread', 'justice', 'wind', 'beneath', '.', '#WingsOfPeace', '#JusticeForPalestine']",0
