,text,human_wrote
0,"['@Pink', ':', 'Hello', 'Pink', ',', 'wanted', 'let', 'know', 'missed', 'seeing', 'time', 'sad', 'heard', 'Burswood']",1
1,"['@noele6277', 'beyond', 'proud', '@30SECONDSTOMARS', 'everything', 'stand', '!', ""can't"", 'even', 'express', 'words', '!', '#marsiscoming']",1
2,"['@leah_lyman', 'lmao', 'funniest', 'kid', 'know', '.', 'well', ',', 'kinda', 'know', '.', 'Lol']",1
3,"['@chiniehdiaz', 'oh', '!', 'great', 'things', 'come', 'age', '.']",1
4,"['finished', 'tuition', ',', 'hairdressers', '&', 'hungry']",1
5,"['@ShakeYourRump', ""I'm"", 'good', ""I've"", 'started', 'exams', '.', ""'"", 'bout', 'hun', ':]', '?']",1
6,"['@dfcook', 'LMAO', '!', '!', '!', 'course', ',', 'firmly', 'believe', 'many', 'similarities', '...', 'cept', 'adore', 'u']",1
7,"['gotta', 'get', 'soon', 'n', 'take', 'kids', 'game', '.', 'ughhhh']",1
8,"['@grooveshark', 'Anyway', 'make', 'songs', 'listen', 'Grooveshark', 'scrobbled', 'Last.fm', '?', 'Love', 'site', 'though', '!']",1
9,"['..', ""what's"", 'going', 'USA', '?', 'discoverd', 'Robert', 'Pattinson', 'blues', 'singer', 'let', 'mi', 'sign', 'beautiful', '<3']",1
10,"['@eyeampenelope', 'text', 'trying', 'apologize', '...', ',', 'shared', 'phone', 'number', 'twitter', '...']",1
11,"['@aliyaki', 'Weirdly', 'plane', 'Sunday', 'night', 'going', 'Melbourne', ',', 'never', 'plane', '.', 'worried', '*', 'hugs', '*']",1
12,"['Hot', 'Pocket', '?', '...', 'think', '!', '!', '!', '(', ""I'm"", 'bored', 'sitting', 'alone', 'watching', 'movie', '.', '=/', '.', 'lameness', '!', ')']",1
13,"['Beijo', 'fallowerss']",1
14,"[""i'm"", 'getting', 'ready', 'work', ',', '&', ""hair's"", 'looking', 'great', 'today', '!']",1
15,"['depressed', 'sleep', '.', 'leaving', 'SF', 'leave', 'NYC']",1
16,"['@RealHughJackman', 'saw', 'movie', '!', 'role', 'Wolverine', 'heart-stoppingly', 'amazing', 'really', 'enjoyed', 'watching', '!', 'Thank', '!']",1
17,"['fuck', ';', 'want', 'tell', 'feel', '.', ""can't"", '-', 'sigh', '-']",1
18,"['ICT', '...', 'School', 'photos', 'next', 'Need', 'hair', '!']",1
19,"['Tomorrows', 'last', 'day', 'ever', 'grammar', 'school', '.', ""I'm"", 'really', 'really', 'sad', '.']",1
20,"['party', 'FOOOODD']",1
21,"['Rain', 'Rain', 'go', 'away', '!', '!']",1
22,"['@jameswickham', 'May', '-', 'guys', 'good', '-', 'think', 'Melvyn', 'impressed', '...', 'giggle']",1
23,"['Hi', ""I'm"", 'new', ',', ""I'm"", 'listenin', 'Indica', 'mo']",1
24,"['@FragileBubble', 'ahh', '...', '*', 'jealous', '*', 'xD', 'sounds', 'good', 'especially', 'painting', 'part', ',', 'painted', 'days', 'ago', 'thank', '!']",1
25,"['Alert', 'n', 'awake', '.', 'Bout', 'head', 'head', 'n', 'make', 'brunch']",1
26,"['Could', 'eat', '1/2', 'pizza', 'breadsticks', 'food', 'coma', '5', '.', '4', '.', '3', '.', '2', '. . . .']",1
27,"['@figureskatenews', 'Yeah', ',', 'consistency', 'kind', 'sucks']",1
28,"['Yummo', ',', 'coffee', ""Milano's"", '(', '2', ')', 'breakfast', '!', 'Back', 'work', '.', 'See', ""y'all"", 'later', '!']",1
29,"['Going', 'take', 'shower', ',', ""I'll"", 'get', 'ready', 'birthday', 'tomorrow', '!', 'Everyone', 'remember', 'greet', '!']",1
30,['@itsangelcarter'],1
31,"['waking', '.', 'dont', 'know', ""I'm"", 'gunna', 'today', '.', 'might', 'wash', 'cars', 'w', '/', 'Paula', 'pretty', 'hot', ""I'm"", 'sure', '.', 'nothing', 'tv', '...', 'UGH', '!']",1
32,"['@tobitai', '?', ""that's"", 'sad', ',', 'looking', 'forward', 'watching', 'tomorrow', 'evening']",1
33,"['@tchetelat', 'much', 'Tweetie', '.', 'jive', ',', 'looked', 'Tweetie', '.', ""Can't"", 'use', 'either', ',', 'iPhone', '.']",1
34,"['@otterale', 'Oh', 'bad', 'bad', 'man', '!', 'tipping', 'hours', '!', '!', 'new', 'hairdo', 'whats', 'got', 'wet', 'look', 'cute', '!', '!']",1
35,"['Helping', 'infamous', '""', 'Weirdo', 'Mansion', '""', 'today', '.', ""Here's"", 'cheerful', 'part', 'crew', '.', 'http://twitpic.com/66swx']",1
36,"['DJAM', 'download', 'work', 'anybody', '?', 'tried', 'twice', 'music']",1
37,"['lmfao', ',', 'love', 'people']",1
38,"['@lollipop26', 'perfect', 'lip', 'liner', 'wear', 'shades', 'l', '/', '.', 'ever', 'need', 'anything', 'else', 'let', 'know', '!']",1
